formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
DySc5Co2(BIr2)4,"['B', 'Sc', 'Co', 'Dy', 'Ir']",-0.8474,-0.0168,0.0121,12.4385,3D,0.0168
YHo5Er2(SiPd)8,"['Si', 'Y', 'Pd', 'Ho', 'Er']",-1.0093,-0.0503,0.0051,8.5863,3D,0.0503
ErZn2CdCuIr,"['Cu', 'Zn', 'Cd', 'Er', 'Ir']",-0.4256,-0.0633,0.0115,10.9732,3D,0.0633
VInP4PbO14,"['O', 'P', 'V', 'In', 'Pb']",-2.5676,-0.0145,2.2303,4.1998,3D,0.0145
K8Na4Sc4Bi3Sb5,"['Na', 'K', 'Sc', 'Sb', 'Bi']",-0.6382,-0.0313,,3.4949,intercalated ion,0.0313
Co4TeIr7O24,"['O', 'Co', 'Te', 'Ir']",-1.3089,-0.0602,0.0002,8.8553,3D,0.0602
Dy4Co17Ni(P6Ru)2,"['P', 'Co', 'Ni', 'Ru', 'Dy']",-0.8553,-0.0178,0.0006,8.4873,3D,0.0178
Dy5Ho13(ThPb8)2,"['Dy', 'Ho', 'Pb', 'Th']",-0.5056,-0.005,,10.5103,,0.005
Hf10Sn6Te,"['Sn', 'Te', 'Hf']",-0.4746,-0.0263,,11.5924,3D,0.0263
TbY2Tm5(WO6)4,"['O', 'Y', 'Tb', 'Tm', 'W']",-3.3299,-0.0052,3.6382,8.3992,3D,0.0052
Zn5B3Ir3Rh4,"['B', 'Zn', 'Rh', 'Ir']",-0.3831,-0.0137,0.0082,11.7633,3D,0.0137
La19TmSi15I,"['Si', 'I', 'La', 'Tm']",-0.7082,-0.0085,,5.5069,3D,0.0085
Lu4Ga3Co4Si,"['Si', 'Co', 'Ga', 'Lu']",-0.5873,-0.0431,0.0012,9.7168,3D,0.0431
Dy7Lu13(Ir2Ru)4,"['Ru', 'Dy', 'Lu', 'Ir']",-0.7598,-0.0407,0.0007,12.2698,3D,0.0407
Tm8B24Mo3Rh,"['B', 'Mo', 'Rh', 'Tm']",-0.6531,-0.0266,0.0063,8.6485,3D,0.0266
Th4Np3RhN12,"['N', 'Rh', 'Th', 'Np']",-1.4116,-0.0283,0.0006,11.1,3D,0.0283
Pr8Lu12Ga15Ge,"['Ga', 'Ge', 'Pr', 'Lu']",-0.5997,-0.0184,,7.9347,3D,0.0184
Ho3(Cd2Au)2,"['Cd', 'Ho', 'Au']",-0.5557,-0.023,0.008,10.6111,3D,0.023
Gd2NiH6,"['H', 'Ni', 'Gd']",-0.6531,-0.0184,,7.6103,3D,0.0184
Dy10Sn6AsS,"['S', 'As', 'Sn', 'Dy']",-1.0346,-0.0469,0.0087,8.4255,3D,0.0469
La5Sn3(BRh6)2,"['B', 'Rh', 'Sn', 'La']",-0.7493,-0.0451,0.0089,9.0583,3D,0.0451
Dy2Er10InCo4Os,"['Co', 'In', 'Dy', 'Er', 'Os']",-0.2852,-0.0216,0.0028,9.779,3D,0.0216
Hf7Zr2TaCoRe3,"['Co', 'Zr', 'Hf', 'Ta', 'Re']",-0.3067,-0.0306,0.0015,13.3787,3D,0.0306
PrTmRh6,"['Rh', 'Pr', 'Tm']",-0.5427,-0.0193,,10.885,,0.0193
Ca3PrPt4,"['Ca', 'Pr', 'Pt']",-0.9488,-0.0085,0.033,9.0879,intercalated ion,0.0085
Hf6Ti4Ga5Te,"['Ti', 'Ga', 'Te', 'Hf']",-0.5438,-0.0225,0.0016,9.6818,3D,0.0225
Sc2Ti4P3,"['P', 'Sc', 'Ti']",-1.098,-0.0147,0.0027,4.3208,3D,0.0147
Tb3Nd2Lu5Pb6,"['Nd', 'Tb', 'Lu', 'Pb']",-0.5102,-0.0074,0.0044,10.1847,3D,0.0074
SrTa3(CuH6)2,"['H', 'Cu', 'Sr', 'Ta']",-0.2796,-0.0618,0.0117,8.3702,intercalated ion,0.0618
NaEr(CN2)2,"['C', 'N', 'Na', 'Er']",-0.9343,-0.1925,3.8283,3.871,intercalated ion,0.1925
NdY2Nb(Co4P3)2,"['P', 'Co', 'Y', 'Nb', 'Nd']",-0.9756,-0.0356,,7.1985,3D,0.0356
CsZnI18,"['Zn', 'I', 'Cs']",-0.541,-0.1656,,3.1097,intercalated ion,0.1656
CaTb4SmY4(In2Pd)4,"['Ca', 'Y', 'Pd', 'In', 'Sm', 'Tb']",-0.686,-0.0028,,7.6088,,0.0028
PrDyYIrO7,"['O', 'Y', 'Pr', 'Dy', 'Ir']",-3.0847,-0.0432,0.0012,7.7878,3D,0.0432
Mn2VSi12Mo17,"['Si', 'V', 'Mn', 'Mo']",-0.4302,-0.0082,0.0042,7.8089,3D,0.0082
Nd3Al12(TcPd)2,"['Al', 'Tc', 'Pd', 'Nd']",-0.6279,-0.0607,0.0021,5.6761,3D,0.0607
NdY4CdIn4Ir,"['Y', 'Cd', 'In', 'Nd', 'Ir']",-0.5733,-0.0309,,7.3025,,0.0309
Tb4TmLu5Sn8,"['Sn', 'Tb', 'Tm', 'Lu']",-0.7281,-0.0313,0.0147,8.8724,3D,0.0313
Tb4Pr(Nd5Ir4)3,"['Pr', 'Nd', 'Tb', 'Ir']",-0.6658,-0.0106,0.0047,10.6126,3D,0.0106
La9NdAl9Si9Au2,"['Al', 'Si', 'La', 'Nd', 'Au']",-0.6923,-0.0153,0.0015,5.4675,3D,0.0153
Tb3Ho(PS)4,"['P', 'S', 'Tb', 'Ho']",-1.7346,-0.0008,0.3759,6.1578,2D,0.0008
NaCr2InO8,"['O', 'Na', 'Cr', 'In']",-1.8282,-0.0335,2.3365,3.3752,intercalated ion,0.0335
LaPr3(Y4Bi3)4,"['Y', 'La', 'Pr', 'Bi']",-0.7616,-0.022,0.0009,7.5382,3D,0.022
Np6Bi8PdAu5,"['Pd', 'Au', 'Bi', 'Np']",-0.178,-0.0819,,12.8363,3D,0.0819
LiTb2Sm4RhBr12,"['Li', 'Br', 'Rh', 'Sm', 'Tb']",-2.0271,-0.0605,0.0073,4.9182,intercalated ion,0.0605
Pr16Lu4(RuPt3)3,"['Ru', 'Pr', 'Lu', 'Pt']",-0.7895,-0.0229,,9.8127,,0.0229
PrUS6,"['S', 'Pr', 'U']",-1.5609,-0.0412,0.0064,4.504,2D,0.0412
Y3Lu5(CdPt)2,"['Y', 'Cd', 'Lu', 'Pt']",-0.6359,-0.0079,0.0007,9.419,3D,0.0079
Tm10SiGeBi4,"['Si', 'Ge', 'Tm', 'Bi']",-0.6895,-0.0314,inf,10.1348,3D,0.0314
Dy3HoGa18(NiIr2)2,"['Ni', 'Ga', 'Dy', 'Ho', 'Ir']",-0.6267,-0.0049,0.0099,9.9701,3D,0.0049
Dy11Y5(InPt)4,"['Y', 'In', 'Dy', 'Pt']",-0.6775,-0.0217,,8.8165,,0.0217
Sm3Tm(Sc3Sn4)2,"['Sc', 'Sn', 'Sm', 'Tm']",-0.7409,-0.0383,,6.595,3D,0.0383
Er6NbCo17(SiP2)4,"['Si', 'P', 'Co', 'Nb', 'Er']",-0.9037,-0.0222,0.0001,8.4294,3D,0.0222
Li4CePr2Si3Ge,"['Li', 'Si', 'Ge', 'Ce', 'Pr']",-0.5658,-0.0298,,4.5788,intercalated ion,0.0298
TbHo3ScIr3,"['Sc', 'Tb', 'Ho', 'Ir']",-0.8564,-0.0234,,11.6849,3D,0.0234
TbHoGa9Co2Pt,"['Co', 'Ga', 'Tb', 'Ho', 'Pt']",-0.5681,-0.0181,,9.171,3D,0.0181
Y3Tm(B4W)4,"['B', 'Y', 'Tm', 'W']",-0.5915,-0.0169,0.2921,8.7537,3D,0.0169
Er4Al2B4Ir9Ru,"['B', 'Al', 'Ru', 'Er', 'Ir']",-0.8506,-0.0576,0.0095,15.1052,3D,0.0576
Pr3DyHoPb3,"['Pr', 'Dy', 'Ho', 'Pb']",-0.5372,-0.0107,0.0042,8.8902,3D,0.0107
HoLu3Al18(Os2Rh)2,"['Al', 'Rh', 'Ho', 'Lu', 'Os']",-0.6525,-0.017,0.0049,7.5668,3D,0.017
Er3Mg2TiIr3,"['Mg', 'Ti', 'Er', 'Ir']",-0.7471,-0.0628,0.0152,10.6487,3D,0.0628
U4Ga4Tc7P2,"['P', 'Ga', 'Tc', 'U']",-0.4782,-0.1598,0.0033,11.5941,3D,0.1598
TbY2LuPt4F28,"['F', 'Y', 'Tb', 'Lu', 'Pt']",-2.9125,-0.0006,2.2738,5.8058,3D,0.0006
SmFe3Cl7O,"['O', 'Cl', 'Fe', 'Sm']",-1.8012,-0.0844,,3.1522,,0.0844
U8NbSi16MoW10,"['Si', 'Nb', 'Mo', 'W', 'U']",-0.3463,-0.005,0.0003,11.9891,3D,0.005
Lu12Th4Mg4Ru3Rh,"['Mg', 'Ru', 'Rh', 'Lu', 'Th']",-0.3355,-0.0316,0.0046,9.3118,3D,0.0316
Y4Mn7CuO20,"['O', 'Mn', 'Cu', 'Y']",-2.5403,-0.0005,,5.1152,,0.0005
Dy3Ho3TiAl23Os8,"['Al', 'Ti', 'Dy', 'Ho', 'Os']",-0.5948,-0.0053,0.003,8.0956,3D,0.0053
Tb8Dy8MgHg3Rh4,"['Mg', 'Rh', 'Tb', 'Dy', 'Hg']",-0.5104,-0.0313,,9.5081,3D,0.0313
Ta15Nb5(Al3Ir2)2,"['Al', 'Nb', 'Ta', 'Ir']",-0.4236,-0.067,0.0009,13.3531,3D,0.067
LaTbHoIrO7,"['O', 'La', 'Tb', 'Ho', 'Ir']",-3.1315,-0.0455,0.001,8.4985,3D,0.0455
Ho4Lu16Bi11Sb,"['Sb', 'Ho', 'Lu', 'Bi']",-0.648,-0.0304,,10.8218,3D,0.0304
Y9Tm(SiSb)4,"['Si', 'Y', 'Sb', 'Tm']",-0.9909,-0.0055,,5.5618,,0.0055
Ta11TiAl8(IrC)4,"['C', 'Al', 'Ti', 'Ta', 'Ir']",-0.745,-0.1102,0.0014,12.5905,3D,0.1102
SrHfFe(PO4)3,"['O', 'P', 'Fe', 'Sr', 'Hf']",-3.0133,-0.0138,2.7287,4.0074,intercalated ion,0.0138
LuSc3Pa4(ReB6)4,"['B', 'Sc', 'Lu', 'Re', 'Pa']",-0.7449,-0.2546,0.0076,9.8914,3D,0.2546
Dy14Er2MgCo4Hg3,"['Mg', 'Co', 'Dy', 'Er', 'Hg']",-0.273,-0.0326,0.0066,9.5774,3D,0.0326
LaPa3(SnPt2)2,"['Sn', 'La', 'Pt', 'Pa']",-0.9621,-0.2058,0.0011,13.2714,3D,0.2058
Y4Al4Ir3Au,"['Al', 'Y', 'Ir', 'Au']",-0.919,-0.0653,0.0105,8.6397,3D,0.0653
Y5CoIrO12,"['O', 'Co', 'Y', 'Ir']",-3.0518,-0.063,0.0034,5.8691,3D,0.063
TbY7MgCo2Hg,"['Mg', 'Co', 'Y', 'Tb', 'Hg']",-0.234,-0.0273,0.0009,6.0397,3D,0.0273
Sc4Ta3Nb3Si8,"['Si', 'Sc', 'Nb', 'Ta']",-0.7664,-0.0339,0.0033,6.7127,3D,0.0339
Nd12Si8(Ir3Rh)3,"['Si', 'Rh', 'Nd', 'Ir']",-0.9222,-0.0267,0.0055,9.9345,3D,0.0267
Ac5La5Tc2I15,"['Tc', 'I', 'La', 'Ac']",-1.467,-0.0923,,5.3353,3D,0.0923
Nb8ReSi2B4W,"['B', 'Si', 'Nb', 'W', 'Re']",-0.6557,-0.0412,0.0129,9.0263,3D,0.0412
La9Pr3(RuCl3)4,"['Cl', 'Ru', 'La', 'Pr']",-1.7819,-0.0422,,4.8303,,0.0422
Y4ErTm(RuI3)2,"['Y', 'Ru', 'I', 'Er', 'Tm']",-1.2009,-0.0371,0.0388,6.0053,3D,0.0371
TmSc7(B6Ir)4,"['B', 'Sc', 'Tm', 'Ir']",-0.7372,-0.0169,0.0027,7.1577,3D,0.0169
La2Pr2Pb3,"['La', 'Pr', 'Pb']",-0.6031,-0.0074,0.0044,8.1645,3D,0.0074
Li2DyY5(Co4P3)4,"['Li', 'P', 'Co', 'Y', 'Dy']",-0.9569,-0.0149,0.0013,6.6572,intercalated ion,0.0149
Sc22GaOs2Ru5,"['Sc', 'Ga', 'Ru', 'Os']",-0.3964,-0.0025,0.0035,5.2994,3D,0.0025
LaDy3(ZnSi)4,"['Si', 'Zn', 'La', 'Dy']",-0.6186,-0.0296,0.0092,6.8233,3D,0.0296
Tm20(GaBi3)3,"['Ga', 'Tm', 'Bi']",-0.6205,-0.0298,0.0001,10.2267,3D,0.0298
Ta4Si4Ir3Pt,"['Si', 'Ta', 'Ir', 'Pt']",-0.7917,0.0004,,14.748,,0.0004
K(BaB8)3,"['B', 'K', 'Ba']",-0.3174,-0.0034,0.01,3.7988,intercalated ion,0.0034
Y2HoEr(Co5As3)4,"['Co', 'As', 'Y', 'Ho', 'Er']",-0.5171,-0.0239,0.0006,8.7286,3D,0.0239
La2Tb4TaSbO14,"['O', 'Sb', 'La', 'Tb', 'Ta']",-3.653,-0.0252,3.3569,7.6588,3D,0.0252
Tb3Dy12Ho(InIr)4,"['In', 'Tb', 'Dy', 'Ho', 'Ir']",-0.5818,0.0001,,9.8767,,0.0001
Ho11Lu5In4RuRh3,"['Ru', 'Rh', 'In', 'Ho', 'Lu']",-0.5306,-0.0037,0.0071,9.5192,3D,0.0037
Zr8Mn3Si14Ni5,"['Si', 'Mn', 'Ni', 'Zr']",-0.7659,-0.0143,,5.9882,,0.0143
SrYTm2(Ir2O7)2,"['O', 'Sr', 'Y', 'Tm', 'Ir']",-2.4277,-0.0363,,9.22,intercalated ion,0.0363
Zr2GaFe9,"['Fe', 'Ga', 'Zr']",-0.1915,0.0006,,7.7727,,0.0006
LaNd(CuP)3,"['P', 'Cu', 'La', 'Nd']",-0.859,-0.0144,0.0034,6.4525,3D,0.0144
DyY5Al24(CoOs)4,"['Al', 'Co', 'Y', 'Dy', 'Os']",-0.5896,-0.0104,0.0009,5.9601,3D,0.0104
ErLu3Co2(Si5Os2)2,"['Si', 'Co', 'Er', 'Lu', 'Os']",-0.725,-0.0532,0.0146,9.7739,3D,0.0532
YZrRh6C,"['C', 'Y', 'Zr', 'Rh']",-0.6064,-0.0376,0.0129,9.948,3D,0.0376
Ho3Mg3Si2Ni,"['Mg', 'Si', 'Ni', 'Ho']",-0.539,-0.047,0.0037,6.1197,3D,0.047
Dy7Co5TcSn23,"['Co', 'Tc', 'Sn', 'Dy']",-0.4047,-0.0035,0.0051,8.5976,3D,0.0035
Tb2SmBiRh3Pb2,"['Rh', 'Sm', 'Tb', 'Pb', 'Bi']",-0.6852,-0.0408,0.0095,11.364,3D,0.0408
Ta6AlFe6,"['Al', 'Fe', 'Ta']",-0.2628,-0.0017,0.0011,12.8807,3D,0.0017
Ho3Tm7(Bi3C)2,"['C', 'Ho', 'Tm', 'Bi']",-0.7079,-0.0604,0.0077,10.7118,3D,0.0604
Rb3V2F7,"['F', 'V', 'Rb']",-3.0185,-0.0094,2.1918,3.9688,intercalated ion,0.0094
Hf6TaTi3Ga5Ge,"['Ti', 'Ga', 'Ge', 'Hf', 'Ta']",-0.5193,-0.0267,0.0033,10.2946,3D,0.0267
Rb6Co3RhBr18,"['Co', 'Br', 'Rb', 'Rh']",-1.3872,-0.1444,1.0385,4.0246,intercalated ion,0.1444
Tb4PBr6,"['P', 'Br', 'Tb']",-2.1048,-0.1725,0.0133,5.1652,3D,0.1725
Y5Al2GeC4,"['C', 'Al', 'Ge', 'Y']",-0.5008,-0.0242,0.0076,4.9745,3D,0.0242
Er5Pa3(Si3Rh)4,"['Si', 'Rh', 'Er', 'Pa']",-0.8644,-0.0729,0.0021,8.3442,3D,0.0729
Pa2SnOsRh,"['Rh', 'Sn', 'Os', 'Pa']",-0.6345,-0.3902,0.003,13.5735,3D,0.3902
Ce2PrSm(AlRh)4,"['Al', 'Rh', 'Ce', 'Pr', 'Sm']",-0.8463,-0.0264,0.0006,7.5305,3D,0.0264
Er2HfZrIr2,"['Zr', 'Er', 'Hf', 'Ir']",-0.8062,-0.0557,,12.4248,,0.0557
Dy15Lu5(IrAu)6,"['Dy', 'Lu', 'Ir', 'Au']",-0.7867,-0.0089,,11.9211,3D,0.0089
Cs12Na8Hf3TiAs12,"['Na', 'Ti', 'As', 'Cs', 'Hf']",-0.587,-0.1089,0.9151,4.3341,intercalated ion,0.1089
TbTm5Bi2Os,"['Tb', 'Tm', 'Os', 'Bi']",-0.5619,-0.044,0.002,10.784,3D,0.044
La2Nd4Pd7Rh,"['Rh', 'Pd', 'La', 'Nd']",-0.824,-0.0127,0.0096,8.7746,3D,0.0127
Rb10Si2As5P,"['Si', 'P', 'As', 'Rb']",-0.3821,-0.0178,0.4383,3.3863,intercalated ion,0.0178
Tb2Ni17H3,"['H', 'Ni', 'Tb']",-0.2356,-0.0146,0.0016,8.9653,3D,0.0146
YTm2ThCdIr,"['Y', 'Cd', 'Tm', 'Ir', 'Th']",-0.5613,-0.0347,,9.9474,3D,0.0347
Tb3DyEr2(Co3P2)6,"['P', 'Co', 'Tb', 'Dy', 'Er']",-0.94,-0.0013,0.0012,8.4997,3D,0.0013
BaNd6OsI12,"['I', 'Ba', 'Nd', 'Os']",-1.5846,-0.1062,0.0008,5.0302,intercalated ion,0.1062
Pr8Sc12Ga3Si12As,"['Si', 'Sc', 'Ga', 'As', 'Pr']",-0.7911,-0.0187,,4.7893,3D,0.0187
Y4MgCo8P12Rh11,"['Mg', 'P', 'Co', 'Y', 'Rh']",-0.9366,-0.0375,0.0011,7.8268,3D,0.0375
Tm4Sc8ZnNi4Sn,"['Sc', 'Ni', 'Zn', 'Sn', 'Tm']",-0.4207,-0.0362,0.0051,6.3016,3D,0.0362
Sr13Ca7(Bi2As)4,"['Ca', 'As', 'Sr', 'Bi']",-0.9683,-0.0173,,4.9773,intercalated ion,0.0173
Y11In9(RuPt)2,"['Y', 'Ru', 'In', 'Pt']",-0.6347,-0.038,,7.2399,3D,0.038
Tb6Y6ZnGaCo4,"['Co', 'Zn', 'Ga', 'Y', 'Tb']",-0.2468,-0.0082,0.0006,6.9981,3D,0.0082
Ti5VRe10,"['Ti', 'V', 'Re']",-0.3702,-0.039,0.0037,14.8912,3D,0.039
SmEr3(Sc3Pt4)2,"['Sc', 'Sm', 'Er', 'Pt']",-1.1741,-0.0068,,10.9386,,0.0068
Dy5Er11MgHg3Ir4,"['Mg', 'Dy', 'Er', 'Ir', 'Hg']",-0.5622,-0.0238,0.0022,10.8595,3D,0.0238
NdEu(NiH4)2,"['H', 'Ni', 'Nd', 'Eu']",-0.5488,-0.1134,0.0037,6.4982,3D,0.1134
La5Co3(P3Ru4)4,"['P', 'Co', 'Ru', 'La']",-0.8374,-0.0051,0.0016,8.6454,3D,0.0051
V11NiP7,"['P', 'V', 'Ni']",-0.8266,-0.0022,0.0012,5.7815,3D,0.0022
Er12Rh3I16,"['Rh', 'I', 'Er']",-1.4029,-0.0758,inf,5.2079,intercalated ion,0.0758
Pu2ReB8Mo,"['B', 'Mo', 'Re', 'Pu']",-0.5156,0.0006,,11.3015,,0.0006
Pr4Zn10GePb,"['Zn', 'Ge', 'Pr', 'Pb']",-0.4325,-0.0075,,7.378,3D,0.0075
HoSc19(Cd3Ru)2,"['Sc', 'Ru', 'Cd', 'Ho']",-0.2609,-0.0243,,4.8471,3D,0.0243
Dy2YEr(B6Ru)2,"['B', 'Y', 'Ru', 'Dy', 'Er']",-0.6842,-0.0056,,7.8915,3D,0.0056
CaHoAl20(RuRh)2,"['Al', 'Ca', 'Ru', 'Rh', 'Ho']",-0.5195,-0.0151,0.0034,4.4786,intercalated ion,0.0151
SrLiEuPt2,"['Li', 'Sr', 'Eu', 'Pt']",-0.7894,-0.0478,0.0046,9.1736,3D,0.0478
LaPa3FeSi4Ni3,"['Si', 'Fe', 'Ni', 'La', 'Pa']",-0.6579,-0.1182,,8.9099,3D,0.1182
Ho10Er2InCo4Au,"['Co', 'In', 'Ho', 'Er', 'Au']",-0.3307,-0.0206,0.001,9.513,3D,0.0206
Ce3Tm2OsPb3,"['Ce', 'Tm', 'Os', 'Pb']",-0.4327,-0.0499,,10.3971,3D,0.0499
Nd6TmScAu10,"['Sc', 'Nd', 'Tm', 'Au']",-0.8341,-0.0111,0.0062,11.6887,3D,0.0111
Pr6TiCo16ReP12,"['P', 'Ti', 'Co', 'Pr', 'Re']",-0.8886,-0.014,,7.7742,3D,0.014
Na2Sr2CaSb4,"['Na', 'Ca', 'Sr', 'Sb']",-0.8613,-0.0198,,4.2023,intercalated ion,0.0198
Tm5Lu3(Ga3Pt)4,"['Ga', 'Tm', 'Lu', 'Pt']",-0.8902,-0.0375,0.0111,10.6275,3D,0.0375
Sr3Ac(Al3Ir)6,"['Al', 'Sr', 'Ir', 'Ac']",-0.6904,-0.1015,0.0018,7.0012,intercalated ion,0.1015
Ce4LuPb3,"['Ce', 'Lu', 'Pb']",-0.3943,-0.0359,,9.4529,3D,0.0359
Ca3Sc(Si4Tc3)2,"['Si', 'Ca', 'Sc', 'Tc']",-0.5749,-0.0539,0.0011,5.6263,intercalated ion,0.0539
Y8Cd2SnPbAu8,"['Y', 'Cd', 'Sn', 'Au', 'Pb']",-0.803,-0.0205,0.0063,9.7974,3D,0.0205
Sm7Y3B2Br15,"['B', 'Br', 'Y', 'Sm']",-1.8744,-0.088,0.0029,5.0604,3D,0.088
PrDy7(Nb3Si4)4,"['Si', 'Nb', 'Pr', 'Dy']",-0.7694,-0.0669,0.0007,7.1657,3D,0.0669
Dy9Ho(IrOs)2,"['Dy', 'Ho', 'Os', 'Ir']",-0.4758,-0.0082,0.0022,10.8797,3D,0.0082
YU(CuP2)2,"['P', 'Cu', 'Y', 'U']",-0.7774,-0.0167,,7.1351,,0.0167
Zr10AlHg(BiPb2)2,"['Al', 'Zr', 'Hg', 'Pb', 'Bi']",-0.3598,-0.0581,0.0058,9.5828,3D,0.0581
Nd3Ho4Th(ReB6)4,"['B', 'Nd', 'Ho', 'Re', 'Th']",-0.6051,-0.0243,0.013,9.5693,3D,0.0243
Sc6Al6PtAu5,"['Al', 'Sc', 'Pt', 'Au']",-0.8331,-0.0393,0.0038,7.9496,3D,0.0393
La6ZnSb8Pt5,"['Zn', 'Sb', 'La', 'Pt']",-1.1223,-0.077,0.004,9.2798,3D,0.077
TbDyPS,"['P', 'S', 'Tb', 'Dy']",-2.0023,-0.0673,0.0354,7.1944,3D,0.0673
PrNd2Sm(MoO4)6,"['O', 'Mo', 'Pr', 'Nd', 'Sm']",-2.635,-0.0142,,3.9977,,0.0142
Lu3Pa(Cu5Sn)4,"['Cu', 'Sn', 'Lu', 'Pa']",-0.2082,-0.0085,,9.7034,3D,0.0085
Dy7Tm(B2C)8,"['B', 'C', 'Dy', 'Tm']",-0.5343,0.0012,,7.6092,,0.0012
U2NbTcC4,"['C', 'Nb', 'Tc', 'U']",-0.3045,-0.0089,0.0007,11.6397,3D,0.0089
Tb4Dy5Lu3Co5Sn,"['Co', 'Sn', 'Tb', 'Dy', 'Lu']",-0.2959,-0.0185,,9.0669,3D,0.0185
YTm19(Hg3Pt)2,"['Y', 'Tm', 'Pt', 'Hg']",-0.4611,-0.0396,,10.7872,,0.0396
Dy15TmCd4Co3Ni,"['Co', 'Ni', 'Cd', 'Dy', 'Tm']",-0.2617,-0.0003,0.003,9.0336,3D,0.0003
Ho7Sn22Ru6Br,"['Br', 'Ru', 'Sn', 'Ho']",-0.5323,-0.055,0.006,8.775,3D,0.055
Nd3Dy4Th(ReB6)4,"['B', 'Nd', 'Dy', 'Re', 'Th']",-0.5918,-0.0199,0.014,9.4808,3D,0.0199
Dy5Ti2Co17P12,"['P', 'Ti', 'Co', 'Dy']",-0.997,-0.0237,0.0009,8.2139,3D,0.0237
La3Pr3WO12,"['O', 'La', 'Pr', 'W']",-3.565,-0.0107,3.4421,6.6082,3D,0.0107
Tb12Tc3Ni,"['Ni', 'Tc', 'Tb']",-0.1298,-0.0259,0.0046,8.7081,3D,0.0259
Tb3ZnCd2Pd3,"['Zn', 'Pd', 'Cd', 'Tb']",-0.7171,-0.0094,0.0024,9.3409,3D,0.0094
Nb3FeCoReC,"['C', 'Fe', 'Co', 'Nb', 'Re']",-0.3236,-0.0523,0.0005,10.178,3D,0.0523
HoTmB6(Ir2Rh)3,"['B', 'Rh', 'Ho', 'Tm', 'Ir']",-0.6075,-0.0168,0.0048,13.0636,3D,0.0168
Nd2Ga7Ni2Hg,"['Ni', 'Ga', 'Nd', 'Hg']",-0.5362,-0.0064,0.0077,8.2181,3D,0.0064
Rb4LaPr3F16,"['F', 'Rb', 'La', 'Pr']",-3.9635,0.0005,,4.942,,0.0005
LiTm6P12Rh17,"['Li', 'P', 'Rh', 'Tm']",-1.0738,-0.1107,,9.3842,intercalated ion,0.1107
Ca4ZnRh7,"['Ca', 'Zn', 'Rh']",-0.4463,-0.0493,0.0041,7.1957,intercalated ion,0.0493
Ho4LuSc3Rh4,"['Sc', 'Rh', 'Ho', 'Lu']",-0.7113,-0.0061,0.0011,8.5067,3D,0.0061
Tb4TmSn4,"['Sn', 'Tb', 'Tm']",-0.7482,-0.0116,0.0055,8.3441,3D,0.0116
Na8Si3SnSe12,"['Na', 'Si', 'Se', 'Sn']",-1.0711,0.0003,1.8009,3.3253,intercalated ion,0.0003
Sm3Sn2Pt2RhPb,"['Rh', 'Sn', 'Sm', 'Pt', 'Pb']",-0.9373,-0.0266,0.0019,11.2009,3D,0.0266
La3Dy(ZnSi3)2,"['Si', 'Zn', 'La', 'Dy']",-0.6458,-0.0522,0.0117,5.7151,3D,0.0522
AlV3AuN,"['N', 'Al', 'V', 'Au']",-0.7004,-0.022,0.0117,8.589,3D,0.022
Ho5Er3(Nb3Si4)4,"['Si', 'Nb', 'Ho', 'Er']",-0.7905,-0.0841,,7.4162,3D,0.0841
PrHoRh2O7,"['O', 'Rh', 'Pr', 'Ho']",-2.4585,-0.0273,0.0028,7.4777,3D,0.0273
Er4FeSi4Ni3,"['Si', 'Fe', 'Ni', 'Er']",-0.7723,0.0004,,8.4337,,0.0004
La7Pr2Nd11Ir12,"['La', 'Pr', 'Nd', 'Ir']",-0.6466,-0.0101,0.0006,10.0198,3D,0.0101
DyTm2GaSi2Ag3,"['Si', 'Ga', 'Ag', 'Dy', 'Tm']",-0.5893,-0.0323,,8.7548,3D,0.0323
Hf2TaRh5,"['Rh', 'Hf', 'Ta']",-0.8183,-0.0297,0.0037,13.4474,3D,0.0297
Dy3YTcB12Ru,"['B', 'Y', 'Tc', 'Ru', 'Dy']",-0.6652,-0.0595,0.0102,7.7321,3D,0.0595
Dy2Y6Re(TcB8)3,"['B', 'Y', 'Tc', 'Dy', 'Re']",-0.6391,-0.0797,0.0018,6.7681,3D,0.0797
PrNd7(HoIr3)2,"['Pr', 'Nd', 'Ho', 'Ir']",-0.6758,-0.0132,0.0028,10.6711,3D,0.0132
Ti2Fe4MoP4Ru,"['P', 'Ti', 'Fe', 'Mo', 'Ru']",-0.8329,-0.0442,0.0001,7.3357,3D,0.0442
Cs3Ag5O4,"['O', 'Ag', 'Cs']",-0.8455,-0.0096,,4.8881,,0.0096
TmPa3Mn2(Co2Si5)2,"['Si', 'Mn', 'Co', 'Tm', 'Pa']",-0.6825,-0.1638,,8.2506,3D,0.1638
Dy6Ho10Cd4OsPt3,"['Cd', 'Dy', 'Ho', 'Os', 'Pt']",-0.5369,-0.008,0.0012,10.087,3D,0.008
YZr(PaRh2)2,"['Y', 'Zr', 'Rh', 'Pa']",-0.7971,-0.0903,0.0041,10.5754,3D,0.0903
SrLa3(Si3Hg)2,"['Si', 'Sr', 'La', 'Hg']",-0.5939,-0.0112,0.0039,6.2513,intercalated ion,0.0112
Tb16Al3InPd3Rh,"['Al', 'Rh', 'Pd', 'In', 'Tb']",-0.4848,-0.0147,0.001,8.1824,3D,0.0147
