formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
Tb7Ho8Th(ZnCo)4,"['Co', 'Zn', 'Tb', 'Ho', 'Th']",-0.2473,-0.0192,,9.0985,3D,0.0192
Mn7NiW4,"['Mn', 'Ni', 'W']",-0.0875,-0.0747,0.0028,13.1521,3D,0.0747
YHo2(Ga2Co3)3,"['Co', 'Ga', 'Y', 'Ho']",-0.3833,-0.0085,,8.474,,0.0085
Dy5Tm2P12Ir2Rh15,"['P', 'Rh', 'Dy', 'Tm', 'Ir']",-1.1149,-0.0697,inf,10.1042,3D,0.0697
HoEr19CoBi8Ir3,"['Co', 'Ho', 'Er', 'Ir', 'Bi']",-0.7202,-0.0466,,10.6597,3D,0.0466
Y5Sc5Si20IrPt7,"['Si', 'Sc', 'Y', 'Ir', 'Pt']",-0.8981,-0.0445,inf,6.983,3D,0.0445
TbHo11Tc3Rh,"['Tc', 'Rh', 'Tb', 'Ho']",-0.2277,-0.0386,0.0025,9.3134,3D,0.0386
Tb4Dy12MgIn3Ru4,"['Mg', 'Ru', 'In', 'Tb', 'Dy']",-0.3637,-0.0149,0.0008,8.7998,3D,0.0149
LiIn3P6N13,"['Li', 'N', 'P', 'In']",-0.5853,-0.0913,,4.1314,,0.0913
NaNd6ZnBr12,"['Na', 'Zn', 'Br', 'Nd']",-1.9853,-0.0745,0.0019,4.387,intercalated ion,0.0745
CsBa3(MoN3)2,"['N', 'Mo', 'Cs', 'Ba']",-0.8897,-0.0098,0.0067,5.4067,intercalated ion,0.0098
HoTm11Tc3Os,"['Tc', 'Ho', 'Tm', 'Os']",-0.1881,-0.0402,,10.1846,3D,0.0402
DyLuMn2F14,"['F', 'Mn', 'Dy', 'Lu']",-3.3842,-0.0692,2.4938,4.9419,3D,0.0692
Dy2Zn(BIr2)3,"['B', 'Zn', 'Dy', 'Ir']",-0.6875,-0.0357,0.0003,14.9282,3D,0.0357
Tb9Tm11(SiBi2)4,"['Si', 'Tb', 'Tm', 'Bi']",-0.7102,-0.0334,0.003,9.5381,3D,0.0334
Sm2Zn14Cu3,"['Cu', 'Zn', 'Sm']",-0.2641,-0.0254,0.0042,7.7497,3D,0.0254
Th4Al18TcIr5,"['Al', 'Tc', 'Ir', 'Th']",-0.7774,-0.1313,0.0106,8.3741,3D,0.1313
Pr3Nd9OsRu3,"['Ru', 'Pr', 'Nd', 'Os']",-0.1672,-0.0008,,7.6852,3D,0.0008
Tm9Lu(In2Bi)2,"['In', 'Tm', 'Lu', 'Bi']",-0.478,-0.0324,0.0021,9.4905,3D,0.0324
CsTbPr2CBr6,"['C', 'Br', 'Cs', 'Pr', 'Tb']",-2.0126,-0.0865,0.6829,4.694,intercalated ion,0.0865
Er3Lu13(In3Au)2,"['In', 'Er', 'Lu', 'Au']",-0.4255,-0.0079,0.0012,10.0694,3D,0.0079
Ba6Nb2NiO12,"['O', 'Ni', 'Nb', 'Ba']",-2.985,-0.0259,2.1585,6.0102,intercalated ion,0.0259
TmLu7V2(B12Rh)2,"['B', 'V', 'Rh', 'Tm', 'Lu']",-0.7103,-0.0125,,8.8139,3D,0.0125
Er16Mg2AlCdPd4,"['Mg', 'Al', 'Pd', 'Cd', 'Er']",-0.4255,-0.0197,0.0013,8.665,3D,0.0197
Ba4Tb7TmO16,"['O', 'Ba', 'Tb', 'Tm']",-3.6734,0.0003,,7.7141,,0.0003
Y2Er8Si5As,"['Si', 'As', 'Y', 'Er']",-0.7763,-0.0207,0.0034,7.5444,3D,0.0207
NdZr3Sc4(P3Ir4)4,"['P', 'Sc', 'Zr', 'Nd', 'Ir']",-0.9891,-0.059,0.007,11.9545,3D,0.059
Hf6BeAl8(Fe3Si4)2,"['Be', 'Al', 'Si', 'Fe', 'Hf']",-0.5828,-0.0208,,7.538,intercalated ion,0.0208
Ce4ReTc5Os2,"['Tc', 'Ce', 'Re', 'Os']",-0.1717,-0.0945,0.0013,11.8837,3D,0.0945
Hf3Co8ReP6,"['P', 'Co', 'Hf', 'Re']",-0.8913,-0.0313,inf,10.2145,3D,0.0313
TbDy7(ThRu2)2,"['Ru', 'Tb', 'Dy', 'Th']",-0.3691,-0.005,0.0012,9.6983,3D,0.005
Er9ScCoAg3,"['Sc', 'Co', 'Ag', 'Er']",-0.2312,-0.0272,,9.3454,3D,0.0272
